gene_name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name,gene_id
SFTPC,0.0004608369730928,0.0025802742054472,13.0959884278734,1,102.867928247113,-7.19689630147251,SFTPC,ENSG00000168484
SFTPA1,0.0001254608142137,0.0010055817912396,15.894040463466,1,102.867928247113,-7.0820077667189,SFTPA1,ENSG00000122852
SFTPA2,0.0001310191249822,0.0010195057605565,15.7992933763675,1,102.867928247113,-6.37946096714307,SFTPA2,ENSG00000185303
SFTPB,0.0004480867476506,0.0025258553982564,13.1553178845727,1,102.867928247113,-5.5299895678917,SFTPB,ENSG00000168878
MT-CO1,0.504019483726523,0.616160738051984,0.449617146025332,1,102.867928247113,-0.45487268531473,MT-CO1,ENSG00000198804
MT-CO2,0.20536560632555,0.315655712151168,1.62429389396622,1,102.867928247113,-0.905497164171783,MT-CO2,ENSG00000198712
MT-CO3,0.395390726368454,0.518613229759252,0.728383174913742,1,102.867928247113,-0.577136305861862,MT-CO3,ENSG00000198938
MT-ATP6,0.101167171234433,0.182151910756992,2.73585876996161,1,102.867928247113,-1.18834625325953,MT-ATP6,ENSG00000198899
MT-ND4,0.397503092502477,0.519728001466554,0.721873597637844,1,102.867928247113,-0.56320967590425,MT-ND4,ENSG00000198886
NAPSA,3.79156930616122e-06,9.20283812175054e-05,23.8745675341949,1,102.867928247113,-7.14200210001277,NAPSA,ENSG00000131400
MT-CYB,0.196648958108041,0.305830416964293,1.68891469003589,1,102.867928247113,-0.889358927374013,MT-CYB,ENSG00000198727
MT-ND1,0.211908596126814,0.322932941369726,1.57790147543759,1,102.867928247113,-0.857320814713772,MT-ND1,ENSG00000198888
MT-ND2,0.562166433618627,0.666620075292028,0.338158124645607,1,102.867928247113,-0.384608947767212,MT-ND2,ENSG00000198763
MT-ND3,0.0627300521033905,0.126115906922779,3.54007295504421,1,102.867928247113,-1.39151485711871,MT-ND3,ENSG00000198840
SCGB3A2,0.0370656861440722,0.0826252477576285,4.46258331238214,1,102.867928247113,-2.36283415235954,SCGB3A2,ENSG00000164265
SERPINB3,0.449493887605813,0.567542787381077,0.57632152527926,1,102.867928247113,0.595580316675865,SERPINB3,ENSG00000057149
TPSAB1,0.0028102445528295,0.0106050892424148,9.3726238261208,1,102.867928247113,-4.86552749995516,TPSAB1,ENSG00000172236
PGC,3.0013955724447e-05,0.0003622835031583,19.0773830352314,1,102.867928247113,-7.74290790147881,PGC,ENSG00000096088
SFTPD,9.37468845576884e-06,0.0001633220985325,21.7477807831421,1,102.867928247113,-5.91271267678967,SFTPD,ENSG00000133661
TPSB2,0.0153394594294627,0.0409926761877678,6.07835909897913,1,102.867928247113,-4.45099663344772,TPSB2,ENSG00000197253
SERPINB4,0.0771852663035054,0.148205196435302,3.1867387752952,1,102.867928247113,1.51307120517234,SERPINB4,ENSG00000206073
MT-ND5,0.264028099385526,0.382095657576739,1.26125409005663,1,102.867928247113,-0.691536143512892,MT-ND5,ENSG00000198786
GPX1,0.840633944481949,0.887868551417353,0.0406392629248324,1,102.867928247113,-0.211905124362988,GPX1,ENSG00000233276
RPS4Y1,0.21299690907886,0.324097548811412,1.5703515250548,1,102.867928247113,-1.38306156972182,RPS4Y1,ENSG00000129824
CPA3,0.0016712704939516,0.007057730126485,10.4220882091783,1,102.867928247113,-5.01350202739739,CPA3,ENSG00000163751
KRT17,0.0338505381007763,0.0770380930832414,4.62505130346033,1,102.867928247113,1.41593628749363,KRT17,ENSG00000128422
KRT5,0.236300529752476,0.350594257792992,1.41905390504381,1,102.867928247113,0.836239626284666,KRT5,ENSG00000186081
MT-ND4L,0.0067254498075326,0.0212696072344487,7.65164690999966,1,102.867928247113,-1.95329684632535,MT-ND4L,ENSG00000212907
MSMB,0.0001218629449966,0.0009909158903502,15.9576926437581,1,102.867928247113,2.61011861934226,MSMB,ENSG00000263639
CLDN18,2.75332763618365e-06,7.70040453533525e-05,24.6366298488567,1,102.867928247113,-8.22753780042411,CLDN18,ENSG00000066405
S100A2,0.268494353475638,0.387661497943457,1.23777057941328,1,102.867928247113,0.707028876016238,S100A2,ENSG00000196754
MMP10,0.470944273584067,0.586576954038981,0.523619073618023,1,102.867928247113,0.678514485602876,MMP10,ENSG00000166670
BPIFA1,0.0003070788979041,0.0018821977937835,13.9587750814893,1,102.867928247113,2.6474754739445,BPIFA1,ENSG00000198183
PEBP4,3.08956838957283e-05,0.0003670873321294,19.0118536756765,1,102.867928247113,-5.32214157710961,PEBP4,ENSG00000134020
WIF1,5.44201795278082e-07,2.80516389318599e-05,28.5808047327924,1,102.867928247113,-6.73070791492086,WIF1,ENSG00000156076
XIST,0.400183591567944,0.522160218642933,0.713685440898244,1,102.867928247113,0.683641819542496,XIST,ENSG00000229807
HHIP,1.82596753280594e-06,5.81518322549663e-05,25.6226776216745,1,102.867928247113,-8.35410402916355,HHIP,ENSG00000164161
KRT6A,0.37760782720521,0.502256368286845,0.785247923922282,1,102.867928247113,0.728078210747395,KRT6A,ENSG00000205420
SCGB1A1,0.0001077161206758,0.0009050182236938,16.2281559884104,1,102.867928247113,-2.98981613353583,SCGB1A1,ENSG00000149021
OMG,0.0297519245689268,0.0694199227999593,4.85770449155416,1,102.867928247113,1.36867312169749,OMG,ENSG00000126861
HSP90B2P,0.12356711766002,0.212168814663496,2.41086424927493,1,102.867928247113,2.90506480295382,HSP90B2P,ENSG00000259706
ABCA3,1.72209940413077e-07,1.47159453004587e-05,31.4644444424619,1,102.867928247113,-5.82382697968923,ABCA3,ENSG00000167972
