gene_name,ct_marker_evidence_blood,ct_marker_evidence_bone_marrow,ct_marker_evidence_heart,ct_marker_evidence_kidney,ct_marker_evidence_liver,ct_marker_evidence_lung,ct_marker_evidence_lymph_node
CMPK2,0.0,0.0,,0.0,,0.0,0.0
CMSS1,,0.0,0.0,,0.0,0.0,0.0
CMTM1,,0.0,,,,,
CMTM2,1.0,0.0,1.0,0.0,1.0,,
CMTM3,0.0,0.0,,0.0,0.0,0.0,0.0
CMTM4,,,0.0,0.0,0.0,0.0,1.0
CMTM5,0.0,1.0,,,0.0,1.0,
CMTM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMTM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMTM8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CMTR1,,0.0,,,0.0,,
CMTR2,,0.0,,,,,
CMYA5,,,1.0,0.0,,0.0,
CNBD2,0.0,,,,,,
CNBP,0.0,0.0,,,0.0,,0.0
CNDP1,,,,0.0,0.0,,
CNDP2,,0.0,,0.0,0.0,0.0,0.0
CNFN,0.0,0.0,,0.0,0.0,,0.0
CNGA1,,,0.0,0.0,,1.0,
CNIH1,0.0,0.0,,,0.0,0.0,0.0
CNIH2,,,,,1.0,0.0,
CNIH3,,0.0,,,0.0,,
CNIH4,0.0,0.0,,0.0,0.0,0.0,
CNKSR1,1.0,0.0,,,,0.0,0.0
CNKSR2,,0.0,0.0,0.0,,,
CNKSR3,0.0,0.0,1.0,0.0,,0.0,0.0
CNN1,,,1.0,1.0,,0.0,
CNN2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CNN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNNM1,,,,0.0,,,
CNNM2,0.0,,,0.0,0.0,,
CNNM3,0.0,,,,0.0,,
CNNM4,,0.0,0.0,,,,0.0
CNOT1,,0.0,,,,,0.0
CNOT10,0.0,,,0.0,0.0,,0.0
CNOT11,,0.0,,,0.0,,
CNOT2,,0.0,,,,0.0,
CNOT3,0.0,0.0,,,,,
CNOT4,0.0,0.0,,0.0,0.0,,0.0
CNOT6,,,,,,,0.0
CNOT6L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT7,0.0,0.0,,,0.0,,0.0
CNOT8,,0.0,,,,,
CNOT9,0.0,,,,,,
CNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNPPD1,0.0,0.0,,,,,0.0
CNPY2,0.0,0.0,0.0,0.0,0.0,,0.0
CNPY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNPY4,,,,,,,0.0
CNR1,,0.0,1.0,,,0.0,
CNR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNRIP1,0.0,1.0,,0.0,0.0,0.0,0.0
CNST,0.0,0.0,0.0,0.0,0.0,0.0,
CNTD1,,,,0.0,,0.0,
CNTFR,,,0.0,1.0,0.0,0.0,
CNTLN,0.0,0.0,,,0.0,,0.0
CNTN1,,,0.0,0.0,,,
CNTN2,,,0.0,,,,
CNTN3,,,0.0,0.0,0.0,0.0,
CNTN4,,,0.0,0.0,0.0,0.0,
CNTN5,,1.0,0.0,0.0,0.0,,
CNTN6,,,,,,0.0,
CNTNAP1,0.0,,,,,,
CNTNAP2,0.0,,0.0,0.0,0.0,,0.0
CNTNAP3,,,,,0.0,0.0,
CNTNAP3B,,,0.0,0.0,0.0,0.0,0.0
CNTNAP5,,,0.0,0.0,,,
CNTRL,,,0.0,0.0,0.0,,
CNTROB,,0.0,,,0.0,,
COA3,,0.0,,0.0,0.0,,
COA4,,,,0.0,0.0,,
COA5,,,,0.0,0.0,,
COA6,0.0,,,0.0,,0.0,
COA7,0.0,,,0.0,0.0,,0.0
COA8,,,,,,,0.0
COASY,,0.0,0.0,,0.0,,0.0
COBL,,,0.0,0.0,0.0,0.0,
COBLL1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COCH,0.0,0.0,,0.0,0.0,1.0,0.0
COG1,,0.0,,,,,0.0
COG2,,0.0,,,0.0,,
COG3,0.0,0.0,,0.0,,,
COG4,0.0,,,,0.0,0.0,
COG5,,0.0,0.0,0.0,,,
COG6,,0.0,,,0.0,,0.0
COG7,0.0,,,0.0,,0.0,
COG8,,,,,0.0,,0.0
COIL,0.0,0.0,,0.0,,,
COL10A1,,,,0.0,,,
COL11A1,,,0.0,0.0,,,
COL11A2,,,,,1.0,,
COL12A1,,,0.0,0.0,0.0,0.0,1.0
COL13A1,,,0.0,0.0,,0.0,
COL14A1,,,0.0,0.0,0.0,0.0,
COL15A1,,,1.0,0.0,1.0,1.0,0.0
COL16A1,,0.0,0.0,0.0,,0.0,
COL17A1,,0.0,,,,0.0,
COL18A1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COL19A1,1.0,1.0,0.0,0.0,,1.0,1.0
COL1A1,,,0.0,0.0,1.0,0.0,
COL1A2,,,0.0,0.0,0.0,0.0,0.0
COL21A1,,,0.0,0.0,,0.0,
COL22A1,,,,0.0,,,
COL23A1,,,0.0,0.0,0.0,0.0,
COL24A1,0.0,0.0,0.0,0.0,,0.0,1.0
COL25A1,,,1.0,0.0,,0.0,
COL26A1,1.0,,,0.0,,0.0,
COL27A1,,0.0,0.0,0.0,0.0,0.0,0.0
COL28A1,,,0.0,0.0,,0.0,
COL3A1,,,0.0,0.0,0.0,0.0,
COL4A1,,,0.0,0.0,0.0,0.0,0.0
COL4A2,,,0.0,0.0,0.0,0.0,
COL4A3,0.0,0.0,0.0,0.0,,1.0,0.0
COL4A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL4A5,,,0.0,0.0,,0.0,
COL4A6,,,0.0,0.0,,0.0,
COL5A1,,0.0,0.0,0.0,0.0,0.0,
COL5A2,,,0.0,0.0,0.0,0.0,
COL5A3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COL6A1,0.0,,0.0,0.0,0.0,0.0,
COL6A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL6A3,,0.0,0.0,0.0,0.0,0.0,
COL6A5,,0.0,,,,,
COL6A6,,,,,,0.0,
COL7A1,,,,0.0,0.0,0.0,
COL8A1,,,0.0,0.0,0.0,0.0,
COL8A2,,0.0,0.0,,,0.0,
COL9A1,,,0.0,,,1.0,
COL9A2,0.0,0.0,,0.0,0.0,0.0,0.0
COL9A3,0.0,,0.0,,0.0,0.0,1.0
COLCA1,,,,0.0,0.0,0.0,
COLCA2,,,,0.0,0.0,,
COLEC10,,,,0.0,0.0,,
COLEC11,,,0.0,,0.0,0.0,1.0
COLEC12,,0.0,0.0,0.0,0.0,0.0,0.0
COLGALT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLGALT2,,0.0,0.0,0.0,0.0,,1.0
COLQ,0.0,0.0,0.0,,0.0,,0.0
COMMD1,,,,0.0,0.0,0.0,
COMMD10,,,,0.0,0.0,,0.0
COMMD2,,,,0.0,0.0,,
COMMD3,0.0,,,0.0,0.0,,
COMMD4,,0.0,,,,0.0,0.0
COMMD5,,,,,0.0,,
COMMD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMD7,0.0,0.0,0.0,0.0,,,0.0
COMMD8,,0.0,,0.0,,0.0,0.0
COMMD9,0.0,0.0,,,0.0,0.0,0.0
COMP,,,,,,1.0,
COMT,0.0,0.0,,0.0,0.0,0.0,
COMTD1,0.0,0.0,,0.0,0.0,0.0,
COPA,,,,,0.0,,
COPB1,,0.0,,,,,
COPB2,0.0,0.0,,,,,0.0
COPE,0.0,0.0,,,0.0,0.0,0.0
COPG1,0.0,0.0,,,,0.0,
COPG2,0.0,,,,,,
COPRS,0.0,0.0,,0.0,0.0,0.0,0.0
COPS2,,,,,0.0,,
COPS3,,,,,0.0,,0.0
COPS5,0.0,,,,,,
COPS6,0.0,,,,,,
COPS7A,,0.0,,,,,
COPS7B,,,,0.0,0.0,,
COPS9,0.0,,,,,,
COPZ1,,,,,0.0,0.0,
COPZ2,,,,,0.0,0.0,
COQ10A,,0.0,,,,,
COQ10B,,0.0,,,,,
COQ2,0.0,,,0.0,0.0,0.0,0.0
COQ3,,,,0.0,,,0.0
COQ4,,0.0,,,,,
COQ6,0.0,,,,,,
COQ7,0.0,,,,0.0,,0.0
COQ9,,0.0,,0.0,,0.0,0.0
CORIN,0.0,,0.0,0.0,,,
CORO1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORO1B,0.0,0.0,,0.0,,0.0,0.0
CORO1C,0.0,0.0,,,0.0,0.0,0.0
CORO2A,,0.0,0.0,0.0,,0.0,
CORO2B,,,0.0,0.0,0.0,0.0,
CORO6,0.0,,0.0,0.0,,0.0,
CORO7,0.0,0.0,,0.0,,0.0,0.0
CORO7-PAM16,,,,,,0.0,
CORT,,,,1.0,,,
COTL1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
COX10,0.0,0.0,,,0.0,,
COX11,,,,,,,0.0
COX14,,,0.0,0.0,0.0,,
COX15,,,,,0.0,,0.0
COX16,,0.0,,0.0,,,
COX17,,0.0,0.0,0.0,0.0,,0.0
COX18,,,,,0.0,,
COX19,,0.0,,,0.0,,
COX20,,,,0.0,,,
COX4I1,0.0,0.0,,0.0,0.0,0.0,0.0
COX4I2,,,0.0,0.0,,1.0,
COX5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX6A1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
COX6A2,,,0.0,,,,1.0
COX6B1,0.0,0.0,0.0,0.0,0.0,0.0,
COX6B2,,,,,1.0,1.0,
COX6C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX7A1,,0.0,0.0,0.0,0.0,0.0,0.0
COX7A2,0.0,,,0.0,,0.0,0.0
COX7A2L,,0.0,,0.0,,0.0,0.0
COX7B,0.0,,0.0,0.0,0.0,,0.0
COX7C,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COX8A,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CP,,,0.0,0.0,0.0,1.0,
CPA1,,,,,,0.0,
CPA3,0.0,1.0,0.0,1.0,1.0,1.0,1.0
CPA4,,,0.0,,,0.0,
CPA5,0.0,1.0,,1.0,,1.0,0.0
CPA6,,,,0.0,,,
CPAMD8,0.0,,0.0,0.0,0.0,0.0,0.0
CPB1,,0.0,,,,,1.0
CPB2,,,,,0.0,0.0,
CPB2-AS1,,,,,0.0,,
CPD,0.0,0.0,0.0,0.0,0.0,,0.0
CPE,,,1.0,1.0,0.0,1.0,0.0
CPEB2,,,,0.0,,0.0,
CPEB3,,,0.0,0.0,,,
CPEB4,,,0.0,0.0,0.0,0.0,0.0
CPED1,0.0,0.0,0.0,0.0,0.0,0.0,
CPLX1,,,0.0,0.0,0.0,0.0,0.0
CPLX2,,,,,,0.0,
CPLX3,,,0.0,,,,
CPM,,0.0,1.0,0.0,0.0,0.0,1.0
CPNE1,,0.0,,,,,
CPNE2,0.0,1.0,,0.0,0.0,0.0,0.0
CPNE3,0.0,0.0,,,0.0,0.0,0.0
CPNE4,,,0.0,0.0,,0.0,
CPNE5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPNE7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPNE8,,0.0,0.0,0.0,0.0,0.0,0.0
CPOX,,0.0,,0.0,,,
CPPED1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPQ,0.0,,,0.0,0.0,0.0,
CPS1,,,,0.0,0.0,,
CPSF1,,,,,0.0,,
CPSF2,,0.0,,,,,
CPSF3,,,,0.0,,,0.0
CPSF4,0.0,,,0.0,0.0,,
CPSF6,,0.0,,,,,0.0
CPT1A,0.0,0.0,,0.0,,,
CPT1B,,0.0,,,,,
CPT2,,0.0,,0.0,0.0,,0.0
CPTP,,,,,,,0.0
CPVL,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CPXM1,0.0,0.0,,0.0,,0.0,0.0
CPXM2,,,1.0,0.0,0.0,0.0,0.0
CR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR1L,,1.0,,0.0,,,
CR2,0.0,0.0,,0.0,,1.0,0.0
CRABP1,,0.0,,0.0,,0.0,
CRABP2,,,,0.0,,0.0,
CRACR2A,,0.0,0.0,0.0,,,0.0
CRACR2B,0.0,0.0,0.0,0.0,,0.0,0.0
CRADD,,,0.0,0.0,0.0,0.0,0.0
CRAMP1,,0.0,,0.0,,0.0,
CRAT,0.0,0.0,,,0.0,,0.0
CRAT37,,,,0.0,,,
CRB1,,,,0.0,,,
CRB2,0.0,,1.0,0.0,,0.0,
CRB3,,0.0,,0.0,,0.0,0.0
CRBN,0.0,0.0,0.0,0.0,0.0,,0.0
CRCP,,,,0.0,,,
CREB1,,0.0,,,0.0,,0.0
CREB3,,,,0.0,0.0,,0.0
CREB3L1,,,,0.0,0.0,0.0,
CREB3L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB3L3,,,,,0.0,,
CREB3L4,0.0,,,,,0.0,
CREB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREBBP,,0.0,,0.0,,,0.0
CREBL2,0.0,0.0,,0.0,0.0,0.0,0.0
CREBRF,0.0,,,0.0,,,
CREBZF,,0.0,,,0.0,0.0,
CREG1,0.0,0.0,,0.0,0.0,0.0,0.0
CRELD1,,,,,0.0,,0.0
CRELD2,0.0,0.0,,0.0,0.0,0.0,0.0
CREM,0.0,0.0,,0.0,0.0,0.0,0.0
CRHBP,1.0,1.0,0.0,1.0,1.0,0.0,
CRIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRIP1,1.0,1.0,,1.0,0.0,1.0,0.0
CRIP2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CRIP3,0.0,0.0,,0.0,,,
CRIPT,0.0,,,,0.0,,0.0
CRISP2,,1.0,,,,1.0,
CRISP3,,1.0,,,,1.0,
CRISPLD1,,,0.0,0.0,0.0,0.0,
CRISPLD2,1.0,1.0,0.0,1.0,0.0,0.0,0.0
CRK,,,,0.0,0.0,,
CRKL,,,,,0.0,,
CRLF1,,,0.0,,,0.0,
CRLF2,,,0.0,,,0.0,
CRLF3,,,,0.0,,,
CRLS1,,,0.0,0.0,0.0,,0.0
CRMP1,,,,0.0,,0.0,
CRNDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRNKL1,,,0.0,,,,
CROCC,,0.0,,,,0.0,
CROCC2,1.0,,,,,,
CROT,,,,0.0,,0.0,
CRP,,,,,0.0,,
CRPPA,,,,,,,0.0
CRTAC1,,,0.0,0.0,0.0,0.0,
CRTAM,0.0,0.0,,0.0,0.0,1.0,0.0
CRTAP,0.0,0.0,,0.0,0.0,0.0,0.0
CRTC1,,,,,,0.0,0.0
CRTC2,0.0,,,0.0,,,
CRTC3,0.0,0.0,,,,,0.0
CRTC3-AS1,,0.0,,,,0.0,
CRX,,1.0,,,,,
CRY1,0.0,,0.0,,,0.0,0.0
CRY2,,,0.0,,0.0,0.0,
CRYAB,,,1.0,1.0,1.0,0.0,
CRYBA4,0.0,,,0.0,1.0,,0.0
CRYBB1,1.0,,,,,,
CRYBB2,0.0,,,,,,
CRYBG1,0.0,,,,,,
CRYBG3,0.0,0.0,,0.0,,,0.0
CRYGD,0.0,1.0,,,,0.0,
CRYGS,,1.0,,,,,
CRYL1,,,,0.0,0.0,0.0,
CRYM,1.0,,,,0.0,0.0,
CRYM-AS1,,,,,0.0,,
CRYZ,,,,0.0,0.0,,0.0
CRYZL1,,,0.0,,,,
CS,,,,0.0,,,
CSAD,,0.0,0.0,,0.0,,
CSDC2,,,0.0,0.0,,,
CSDE1,0.0,,0.0,,0.0,,0.0
CSE1L,,,,,,0.0,
CSF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1R,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CSF2,,,,,1.0,0.0,0.0
CSF2RA,0.0,,0.0,0.0,0.0,0.0,
CSF2RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF3,,,,,,0.0,0.0
CSF3R,1.0,1.0,0.0,1.0,0.0,0.0,0.0
CSGALNACT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSGALNACT2,0.0,0.0,0.0,0.0,0.0,0.0,
CSK,0.0,0.0,,0.0,,0.0,0.0
CSKMT,0.0,,,,,,
CSMD1,,,0.0,0.0,,,
CSMD2,,,0.0,0.0,,,
CSMD3,,,,0.0,,,
CSNK1A1,,,0.0,,,,0.0
CSNK1A1L,,,,,1.0,,
CSNK1E,0.0,0.0,,0.0,0.0,0.0,
CSNK1G1,,0.0,,,,,
CSNK1G2,0.0,0.0,,,,,0.0
CSNK1G3,0.0,,,,,,
CSNK2A1,,,,0.0,,,
CSNK2A2,,,,,0.0,,
CSNK2A3,,0.0,,,,,1.0
CSNK2B,0.0,,0.0,,0.0,,
CSPG4,,0.0,0.0,0.0,,0.0,
CSPG5,,,,,,0.0,
CSPP1,,,,0.0,0.0,0.0,
CSRNP1,0.0,0.0,,0.0,0.0,0.0,0.0
CSRNP2,,,,0.0,,0.0,0.0
CSRNP3,,,,,,0.0,
CSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSRP2,,0.0,0.0,0.0,0.0,0.0,0.0
CSRP3,,,0.0,,,,
CST3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
CST5,,,,,,1.0,
CST6,,,,0.0,,0.0,
CST7,1.0,1.0,0.0,0.0,1.0,1.0,1.0
CSTA,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CSTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSTF1,,0.0,,,,,
CSTF2,,,,,0.0,,0.0
CSTF2T,,,,,,0.0,0.0
CSTF3,,,,,0.0,,0.0
CTA-125H2.1,,,0.0,,,,
CTA-204B4.2,,,,,0.0,,
CTA-212A2.4,,,,1.0,,,
CTA-228A9.3,,,,0.0,0.0,,
CTA-243E7.1,,,0.0,0.0,,,
CTA-292E10.6,,,,0.0,0.0,,
CTA-384D8.34,,,,0.0,0.0,,
CTB-107G13.1,,,,,0.0,,
CTB-113D17.1,,,0.0,0.0,,,
CTB-113P19.5,,,,,1.0,,
CTB-152G17.6,,,0.0,,0.0,,
CTB-178M22.1,,,0.0,,,,
CTB-178M22.2,,,1.0,,,,
CTB-193M12.5,,,,0.0,,,
CTB-1I21.1,,,,1.0,,,
CTB-35F21.1,,,,0.0,,,
CTB-46B19.2,,,,,0.0,,
CTB-47B11.3,,,,,0.0,,
CTB-49A3.4,,,,1.0,,,
CTB-4E7.1,,,0.0,1.0,,,
CTB-50L17.14,,,,,0.0,,
CTB-61M7.2,,,,1.0,0.0,,
CTB-73N10.1,,,0.0,,,,
CTB-91J4.1,,,1.0,1.0,0.0,,
CTB-92J24.3,,,,0.0,,,
CTBP1,,,,0.0,0.0,,
CTBP2,0.0,0.0,,0.0,0.0,0.0,0.0
CTBS,,,0.0,,0.0,,
CTC-232P5.3,,,,,1.0,,
CTC-251D13.1,,,,,1.0,,
CTC-260E6.6,,,,0.0,,,
CTC-301O7.4,,,,0.0,,,
CTC-329D1.2,,,,0.0,,,
CTC-340A15.2,,,,0.0,,,
CTC-340D7.1,,,0.0,0.0,,,
CTC-340I23.2,,,,1.0,,,
CTC-366B18.4,,,,,0.0,,
CTC-378H22.2,,,,,1.0,,
CTC-379B2.4,,,0.0,,,,
CTC-391G2.1,,,,0.0,,,
CTC-425F1.4,,,0.0,,0.0,,
CTC-428H11.2,,,,,0.0,,
CTC-431G16.2,,,0.0,,,,
CTC-444N24.11,,,,0.0,,,
CTC-448D22.1,,,0.0,,,,
CTC-455F18.1,,,,0.0,,,
CTC-458I2.2,,,0.0,0.0,,,
CTC-459F4.3,,,,,0.0,,
CTC-471J1.11,,,,0.0,,,
CTC-471J1.9,,,,0.0,,,
CTC-490G23.6,,,,0.0,,,
CTC-508F8.1,,,,,1.0,,
CTC-510F12.2,,,,,0.0,,
CTC-510F12.7,,,,1.0,,,
CTC-513N18.6,,,,0.0,,,
CTC-524C5.2,,,,,0.0,,
CTC-535M15.2,,,,0.0,,,
CTC-546K23.1,,,1.0,,,,
CTC-548K16.5,,,0.0,,,,
CTC-575N7.1,,,0.0,,,,
CTC-806A22.1,,,0.0,,,,
CTC1,,0.0,,,,0.0,
CTCF,,,,0.0,0.0,,
CTD-2006K23.1,,,,1.0,,,
CTD-2008L17.1,,,,0.0,,,
CTD-2009A10.1,,,1.0,,,,
CTD-2012K14.8,,,,0.0,,,
CTD-2015H3.1,,,0.0,,,,
CTD-2015H6.3,,,,0.0,,,
CTD-2017C7.1,,,0.0,,,,
CTD-2017D11.1,,,,,0.0,,
CTD-2023N9.1,,,,0.0,,,
CTD-2026D20.2,,,,0.0,,,
CTD-2033A16.1,,,,,1.0,,
CTD-2034I4.1,,,0.0,0.0,,,
CTD-2035E11.4,,,,,1.0,,
CTD-2049O4.1,,,0.0,,,,
CTD-2050E21.2,,,1.0,,,,
CTD-2054N24.2,,,,,0.0,,
CTD-2058B24.2,,,,1.0,,,
CTD-2081C10.7,,,,0.0,,,
CTD-2095E4.5,,,,0.0,,,
CTD-2126E3.4,,,,1.0,,,
CTD-2135J3.3,,,,0.0,,,
CTD-2152M20.2,,,0.0,,,,
CTD-2154I11.2,,,0.0,,,,
CTD-2192J16.26,,,,0.0,,,
CTD-2199O4.1,,,,,1.0,,
CTD-2201G3.1,,,,0.0,,,
CTD-2227E11.1,,,,1.0,0.0,,
CTD-2227I18.1,,,,0.0,,,
CTD-2243E23.1,,,,1.0,,,
CTD-2260A17.2,,,,0.0,,,
CTD-2260A17.3,,,,,0.0,,
CTD-2263F21.1,,,1.0,,,,
CTD-2282P23.2,,,0.0,1.0,,,
CTD-2287O16.5,,,,0.0,,,
CTD-2288O8.1,,,,0.0,,,
CTD-2292M16.8,,,,,0.0,,
CTD-2297D10.2,,,,0.0,,,
CTD-2302E22.6,,,,0.0,,,
CTD-2336O2.1,,,0.0,,,,
CTD-2337A12.1,,,,0.0,,,
CTD-2349P21.11,,,0.0,,,,
CTD-2350C19.2,,,,,0.0,,
CTD-2366F13.1,,,,,0.0,,
CTD-2369P2.10,,,,0.0,,,
CTD-2369P2.5,,,1.0,0.0,,,
CTD-2377O17.1,,,,0.0,,,
CTD-2378E12.1,,,,0.0,,,
CTD-2509G16.5,,,0.0,0.0,,,
CTD-2515A14.1,,,,0.0,,,
CTD-2516F10.2,,,,,0.0,,
CTD-2537O9.1,,,0.0,,,,
CTD-2540F13.2,,,,0.0,0.0,,
CTD-2544M6.1,,,0.0,,,,
CTD-2545M3.8,,,0.0,,1.0,,
CTD-2553C6.1,,,1.0,,,,
CTD-2555O16.2,,,,0.0,,,
CTD-2562J15.4,,,,1.0,,,
CTD-2576D5.4,,,,1.0,,,
CTD-2583P5.3,,,,,1.0,,
CTD-2600O9.1,,,,,0.0,,
CTD-2619J13.14,,,,,0.0,,
CTD-2626G11.2,,,,0.0,,,
CTD-2639E6.9,,,,1.0,0.0,,
CTD-2651B20.3,,,,,0.0,,
CTD-3001H11.2,,,,0.0,,,
CTD-3020H12.4,,,,0.0,,,
CTD-3025N20.3,,,,1.0,,,
CTD-3032J10.2,,,0.0,,,,
CTD-3035K23.7,,,,1.0,,,
CTD-3037G24.3,,,,0.0,,,
CTD-3051D23.4,,,,,0.0,,
CTD-3064M3.7,,,0.0,1.0,,,
CTD-3074O7.5,,,,0.0,,,
CTD-3080P12.3,,,,,0.0,,
CTD-3088G3.8,,,,0.0,0.0,,
CTD-3116E22.8,,,,1.0,,,
CTD-3118D11.2,,,,1.0,,,
CTD-3193K9.4,,,0.0,0.0,,,
CTD-3193O13.12,,,,1.0,,,
CTD-3239E11.2,,,0.0,0.0,,,
CTD-3253I12.1,,,0.0,,,,
CTDNEP1,0.0,,0.0,,0.0,,0.0
CTDP1,,0.0,,,,0.0,
CTDSP1,,,,,0.0,,
CTDSP2,,,,0.0,0.0,,
CTDSPL,0.0,0.0,0.0,0.0,0.0,0.0,
CTDSPL2,,,,0.0,0.0,,
CTF1,,,,,,0.0,
CTHRC1,,1.0,,0.0,0.0,1.0,0.0
CTIF,,,0.0,0.0,0.0,,
CTLA4,0.0,1.0,,0.0,1.0,1.0,1.0
CTNNA1,0.0,0.0,0.0,0.0,0.0,0.0,
CTNNA2,,,,0.0,,,
CTNNA3,,,1.0,0.0,0.0,0.0,
CTNNAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,,,,0.0,0.0,0.0,0.0
CTNNBIP1,0.0,0.0,0.0,0.0,,0.0,0.0
CTNNBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNND1,0.0,0.0,,0.0,0.0,0.0,0.0
CTNND2,,,0.0,0.0,0.0,0.0,
CTNS,,0.0,0.0,,0.0,0.0,0.0
CTPS1,0.0,0.0,,,,,0.0
CTPS2,,0.0,,,0.0,,0.0
CTR9,0.0,,,0.0,0.0,,
CTSA,0.0,0.0,,0.0,,0.0,0.0
CTSB,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CTSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSD,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CTSE,,,,,0.0,1.0,
CTSF,0.0,,,0.0,,0.0,
CTSG,1.0,0.0,1.0,1.0,1.0,0.0,1.0
CTSH,0.0,0.0,,0.0,0.0,1.0,0.0
CTSK,0.0,,,0.0,0.0,0.0,0.0
CTSL,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CTSO,0.0,0.0,,,0.0,,0.0
CTSS,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CTSV,,1.0,,0.0,,0.0,
CTSW,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CTSZ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CTTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTTNBP2,1.0,,0.0,0.0,0.0,0.0,0.0
CTTNBP2NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTU1,0.0,,,,,,
CTU2,,,,,,0.0,0.0
CTXN1,,0.0,,0.0,,1.0,
CTXN3,,,,1.0,,,
CUBN,,,0.0,1.0,,0.0,0.0
CUEDC1,0.0,,0.0,,,0.0,0.0
CUEDC2,0.0,,,0.0,0.0,,0.0
CUL1,,,0.0,,,0.0,0.0
CUL3,,,,0.0,0.0,,
CUL4A,,,,,,,0.0
CUL4B,,,,,0.0,,
CUL5,,,,0.0,,,0.0
CUL7,0.0,,,0.0,,,
CUL9,,,,,,0.0,
CUTA,0.0,0.0,,0.0,0.0,0.0,0.0
CUTC,,,,,,0.0,0.0
CUX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUX2,1.0,1.0,,0.0,0.0,0.0,
CUZD1,,1.0,,,1.0,,
CWC15,0.0,0.0,,,,,0.0
CWC22,,0.0,,0.0,,,
CWC25,,0.0,,0.0,,,
CWC27,0.0,,,0.0,,,
CWF19L1,0.0,,,0.0,,,
CWF19L2,,,,0.0,0.0,,
CWH43,,,,0.0,,0.0,
CX3CL1,,,1.0,0.0,0.0,0.0,
CX3CR1,0.0,0.0,,0.0,0.0,0.0,1.0
CXADR,,0.0,0.0,0.0,0.0,0.0,
CXCL1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CXCL10,1.0,,,0.0,,0.0,
CXCL11,,,,,1.0,0.0,
CXCL12,,0.0,0.0,0.0,1.0,1.0,1.0
CXCL13,,,,0.0,0.0,0.0,
CXCL14,0.0,,,0.0,1.0,0.0,1.0
CXCL16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CXCL17,,,0.0,,,0.0,
CXCL2,0.0,0.0,0.0,0.0,,0.0,0.0
CXCL3,0.0,0.0,1.0,,0.0,0.0,0.0
